NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Herrero Bono, José Alberto",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,Teruel,M,,,,,,,,,,,,
"Hoyo Juliá, Belén",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Valencia,F,,,,,,,,,x,,,
"Hurtado Zurera, Antonio",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Córdoba,M,,,,,,,,,,,x,
"Ibáñez Gimeno, Manuel",2813.87,,,,,,1823.86,4637.73,64928.22,Castellón,M,,,,,,,,,,,,
"Iglesias Fontal, María Olga",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Lugo,F,,,,,,,,,,,x,
"Iglesias Santiago, Leire",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cáceres,F,,,,,,,,,,x,,
"Iñarritu García, Jon",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,,,,,,x,x,
"Jané i Guasch, Jordi",2813.87,1209.6,1010.83,707.1,,1046.48,1823.86,8611.74,120564.36,Tarragona,M,,,x,,,,,,,x,x,
"Jiménez Díaz, María Piedra Escrita",2813.87,,,,,,1823.86,4637.73,64928.22,Badajoz,F,,,,,,,,,,,,
"Jiménez García-Herrera, Trinidad",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Málaga,F,,,,,,,,,,x,,
"Jiménez Mínguez, Encarnación",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Guadalajara,F,,,,,,,,,,,x,
"Jordà i Roura, Teresa",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Girona,F,,,,,,,,,,x,x,
"Juste Picón, María Belén",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,F,,,,,,,,x,,,,
"Lagares Flores, Juan Carlos",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Huelva,M,,,,,,,,x,,,,
"Lago Martínez, María Paz",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Pontevedra,F,,,,,,,,,x,,,
"Landaluce Calleja, José Ignacio",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cádiz,M,,,,,,,,x,,,,
"Lara Carbó, María Teresa de",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,,
"Lara Moya, Cayo",2813.87,,,,2667.5,,870.56,6351.93,88927.02,Madrid,M,x,,,,x,,,,,,,
"Larreina Valderrama, Rafael",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Gipuzkoa,M,,,,,,,,,,x,x,
"Lavilla Martínez, Félix",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Soria,M,,,,,,,,,x,,,
"Llamazares Trigo, Gaspar",2813.87,,1424.62,662.45,,1431.31,1823.86,8156.11,114185.54,Asturias,M,,,,,,x,x,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Llorens Torres, José Ignacio",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Lleida,M,,,,,,,x,,,,,
"López-Amor García, Fernando",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Córdoba,M,,,,,,,,x,,,,
"López Garrido, Diego",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,,,x,,
"López Garrido, José",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Alicante,M,,,,,,,,,,,x,
"López González, Rocío",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Toledo,F,,,,,,,,,,,x,
"López i Chamosa, María Isabel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,x,x,,
"López Vilaboa, José Máximo",2813.87,,,,,,1823.86,4637.73,64928.22,Burgos,M,,,,,,,,,,,,
"Lozano Domingo, Irene",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,,
"Lucio Carrasco, María Pilar",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cáceres,F,,,,,,,,,,x,,
"Luena López, César",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,La Rioja,M,,,,,,,,x,,,,
"Luis Rodríguez, Teófilo de",2813.87,944.49,818.46,677.35,,0,870.56,6124.73,85746.22,Madrid,M,x,,,x,,,,,,,,
"Macias i Arau, Pere",2813.87,,,,2087.07,1431.31,1823.86,8156.11,114185.54,Barcelona,M,,,,,,x,x,,x,x,,Portavoz Sustituto de la Junta de Portavoces
"Madina Muñoz, Eduardo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,,,,x,,,,
